,filename,cgpa,sgpa
167,/content/btech/found/21010101040_1800265813.html,5.90,5.54
168,/content/btech/found/22010205038_1800265530.html,1.79,1.79
169,/content/btech/found/20010101043_1800265469.html,8.08,7.17
170,/content/btech/found/21010603008_1800266006.html,4.75,4.75
171,/content/btech/found/20010305053_1800265774.html,6.06,4.67
172,/content/btech/found/20010401038_1800265267.html,6.26,4.71
173,/content/btech/found/21010203036_1800265238.html,8.71,8.71
174,/content/btech/found/21010304045_1800265292.html,3.29,1.96
175,/content/btech/found/20010301009_1800265814.html,7.32,7.15
176,/content/btech/found/23010603057_1800266016.html,4.74,4.74
177,/content/btech/found/22010501019_1800265467.html,4.83,4.83
178,/content/btech/found/20011303005_1800266013.html,7.50581395348837,6.8695652173913
179,/content/btech/found/20010204002_1800265600.html,6.11,4.96
180,/content/btech/found/20010501003_1800265469.html,6.85,6.81
181,/content/btech/found/22021001007_1800265788.html,5.08,5.08
182,/content/btech/found/22011201011_1800265812.html,3.71,2.46
183,/content/btech/found/23010104028_1800265989.html,6.65,6.65
184,/content/btech/found/21010501033_1800265494.html,5.21,5.21
185,/content/btech/found/21021005010_1800265532.html,6.70,7.16
186,/content/btech/found/22010903009_1800265757.html,4.46,4.46
187,/content/btech/found/21020205001_1800265775.html,7.36,6.00
188,/content/btech/found/22021303006_1800265589.html,7.79,7.79
189,/content/btech/found/20010603006_1800265284.html,8.69,8.50
190,/content/btech/found/21010501020_1800265932.html,7.69,7.88
191,/content/btech/found/21021201009_1800265934.html,3.57,3.74
192,/content/btech/found/21010505036_1800265395.html,6.75,6.75
193,/content/btech/found/21021003008_1800265589.html,5.38,5.38
194,/content/btech/found/21010104055_1800265597.html,6.38,5.17
195,/content/btech/found/21010301051_1800265494.html,5.92,5.92
196,/content/btech/found/21020505001_1800265905.html,6.72,6.60
197,/content/btech/found/21020101002_1800265267.html,8.60,8.04
198,/content/btech/found/23010401046_1800265991.html,3.43,3.43
199,/content/btech/found/20011005002_1800265904.html,6.53,5.22
200,/content/btech/found/22011201002_1800265467.html,0.96,0.96
201,/content/btech/found/22010103027_1800265782.html,5.04,5.04
202,/content/btech/found/20011005007_1800265901.html,6.67,5.46
203,/content/btech/found/20010107008_1800265281.html,7.60,7.60
204,/content/btech/found/20010301006_1800265267.html,7.24,5.29
205,/content/btech/found/20010301004_1800265934.html,6.04,5.04
206,/content/btech/found/20010401029_1800265500.html,7.31,6.96
207,/content/btech/found/21011103004_1800265238.html,8.83,8.83
208,/content/btech/found/21010505032_1800265902.html,2.63,2.96
209,/content/btech/found/20010901009_1800265790.html,4.79,2.31
210,/content/btech/found/23021003001_1800266009.html,4.16666666666667,4.16666666666667
211,/content/btech/found/20010505052_1800265770.html,5.63,5.63
